Name,representative_disperions,disperse,no_dispersion,no_data,slight_dispersion,actinacidiphila,Phaeacidiphilus,Mangrovactinospora,Wenjunlia,Streptantibioticus
no_species_info_id000068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_sediminis__COLLAPSED__id000070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_specialis__COLLAPSED__id000071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_klenkii__COLLAPSED__id000072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_hoynatensis_id000073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_thermoatroviridis_id000075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_thermoalkaliphilus_id000076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_specialis_id000079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_burgazadensis_id000080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_aidingensis__COLLAPSED__id000083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_canalis_id000084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_sannurensis__COLLAPSED__id000085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__COLLAPSED__id000086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_nanhaiensis__5__Streptomyces_radiopugnans__1__id000087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__COLLAPSED__id000088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__1__actinobacterium_ZXY002__2__id000090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fenghuangensis_id000091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_chitinivorans_id000092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__COLLAPSED__id000093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fenghuangensis__4__Streptomyces_radiopugnans__1__id000094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans_id000095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fenghuangensis_id000096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__COLLAPSED__id000097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__COLLAPSED__id000099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__COLLAPSED__id000100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
actinobacterium_HSr15_id000101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_fenghuangensis_id000102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_verrucosisporus_id000103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__COLLAPSED__id000104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_radiopugnans__COLLAPSED__id000105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
